Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/PROMEDA,773,773,0,"100,00"
/PROMEDA/.settings,13,13,0,"100,00"
/PROMEDA/bin,4,4,0,"100,00"
/PROMEDA/bin/core/entities/bricks,51,51,0,"100,00"
/PROMEDA/bin/core/entities/facilities/files,15,15,0,"100,00"
/PROMEDA/bin/core/entities/facilities/mysql,20,20,0,"100,00"
/PROMEDA/bin/core/utilities,5,5,0,"100,00"
/PROMEDA/bin/frontend/gui/frames,212,212,0,"100,00"
/PROMEDA/bin/modules/medModAttachments,5,5,0,"100,00"
/PROMEDA/bin/modules/medModImages,6,6,0,"100,00"
/PROMEDA/bin/modules/medModLabels,6,6,0,"100,00"
/PROMEDA/bin/modules/medModVideos,6,6,0,"100,00"
/PROMEDA/bin/uac,12,12,0,"100,00"
/PROMEDA/src/core/entities/bricks,45,45,0,"100,00"
/PROMEDA/src/core/entities/facilities/files,15,15,0,"100,00"
/PROMEDA/src/core/entities/facilities/mysql,36,36,0,"100,00"
/PROMEDA/src/core/utilities,5,5,0,"100,00"
/PROMEDA/src/frontend/gui/frames,354,354,0,"100,00"
/PROMEDA/src/modules/medModAttachments,5,5,0,"100,00"
/PROMEDA/src/modules/medModImages,5,5,0,"100,00"
/PROMEDA/src/modules/medModLabels,5,5,0,"100,00"
/PROMEDA/src/modules/medModVideos,5,5,0,"100,00"
/PROMEDA/src/uac,10,10,0,"100,00"
